,ROC-AUC,PR-AUC,ACCURACY,BALANCED ACCURACY,PRECISION,RECALL,F1 SCORE,MCC
0,0.8653788993815422,0.43923217272366105,0.9666257668711656,0.7417365878464277,0.5220588235294118,0.5,0.5107913669064749,0.49364652497502204
1,0.8316502114645667,0.446523911149846,0.965398773006135,0.6698269965585529,0.5050505050505051,0.352112676056338,0.4149377593360996,0.40457783397311653
2,0.8247637362440599,0.3832442646492631,0.9592638036809816,0.7073767292286646,0.4189189189189189,0.43661971830985913,0.42758620689655163,0.4065695538513861
3,0.8324756574023341,0.45127428658985136,0.9688343558282209,0.7157287738636242,0.5675675675675675,0.44366197183098594,0.4980237154150198,0.48608912375494945
4,0.8369985997858497,0.5077660781208021,0.9676073619631902,0.7286691161461523,0.5403225806451613,0.47183098591549294,0.5037593984962405,0.48829164892577315
5,0.7858737730220633,0.39486315601921607,0.9649079754601227,0.6865427244371389,0.4954954954954955,0.3873239436619718,0.43478260869565216,0.42032589274267224
6,0.8275793842638848,0.37660548879145156,0.9634355828220859,0.7027499346447359,0.47244094488188976,0.4225352112676056,0.446096654275093,0.4279632051976555
7,0.8200080216872043,0.45167701790373127,0.9592638036809816,0.7447106999996419,0.4294117647058823,0.5140845070422535,0.4679487179487179,0.44890466707164883
8,0.8200026500216658,0.35792865966527576,0.9624539877300613,0.705635414316563,0.45864661654135336,0.4295774647887324,0.44363636363636366,0.4244728537649685
9,0.8115270570793179,0.43755685673499045,0.9602453987730062,0.7384312229849987,0.4382716049382716,0.5,0.46710526315789475,0.4475966590945736
10,0.8185970642057276,0.3874146989287284,0.9626993865030675,0.7261265277912069,0.4652777777777778,0.47183098591549294,0.4685314685314686,0.4492156595228656
11,0.8144000028648883,0.4319335085661483,0.9700613496932515,0.6926064395526477,0.6086956521739131,0.39436619718309857,0.47863247863247865,0.4755628020689696
12,0.7887323943661974,0.36945258548226434,0.9656441717791411,0.6801361180047486,0.5096153846153846,0.3732394366197183,0.43089430894308944,0.418957845174046
13,0.8301586790000107,0.4075691942859786,0.9649079754601227,0.7069067084940357,0.4959349593495935,0.4295774647887324,0.460377358490566,0.44355725723067996
14,0.857188899990331,0.5101909162110303,0.9644171779141104,0.7473804177723344,0.4899328859060403,0.5140845070422535,0.5017182130584192,0.48342953260542654
15,0.819007101341842,0.408235429124526,0.9595092024539877,0.7516258241030214,0.43352601156069365,0.528169014084507,0.4761904761904762,0.4577461152111653
16,0.8220707412540333,0.43391796126398513,0.9703067484662576,0.6350356141425211,0.6842105263157895,0.2746478873239437,0.39195979899497496,0.4217373559794137
17,0.8117732584165046,0.4048543503935758,0.9644171779141104,0.6862884656016445,0.48672566371681414,0.3873239436619718,0.4313725490196078,0.41612676410412086
18,0.8539945495500335,0.4547190673774011,0.9658895705521472,0.7175972181934731,0.512,0.4507042253521127,0.47940074906367036,0.4628453721374534
19,0.8098985471435274,0.41348867555328755,0.9597546012269939,0.704236990721343,0.4236111111111111,0.4295774647887324,0.4265734265734266,0.4057306118925031
20,0.8315588931504101,0.4749655474329899,0.9639263803680982,0.7403381642512077,0.48299319727891155,0.5,0.4913494809688581,0.4727314256546789
21,0.8155790834506148,0.42261063757343953,0.9685889570552147,0.6816616710177158,0.5760869565217391,0.3732394366197183,0.452991452991453,0.4485391739672426
22,0.8107418986330903,0.36174427418441346,0.9612269938650306,0.6982117725421944,0.44029850746268656,0.4154929577464789,0.42753623188405804,0.40767114181249864
23,0.8274262917960343,0.41410689740093315,0.9573006134969325,0.7640576487145605,0.41578947368421054,0.5563380281690141,0.4759036144578313,0.4593699486388204
24,0.804551949377424,0.35601914211749314,0.9663803680981595,0.6873055009436225,0.5238095238095238,0.3873239436619718,0.44534412955465585,0.4336074849736394
25,0.8033110946380034,0.3981513910483985,0.9685889570552147,0.6579036896180029,0.5897435897435898,0.323943661971831,0.4181818181818182,0.4226822820950357
26,0.8119487328240994,0.42846643515710486,0.9612269938650306,0.7457277353416201,0.4506172839506173,0.5140845070422535,0.48026315789473684,0.4612940872794361
27,0.8047453293368141,0.3910597280498981,0.9678527607361963,0.7050382641641868,0.5504587155963303,0.4225352112676056,0.47808764940239046,0.4661025228772149
28,0.8218218540840773,0.435732181593941,0.9668711656441717,0.7079237438360138,0.5304347826086957,0.4295774647887324,0.4747081712062257,0.4605149295983119
29,0.8465404683376129,0.42005540846974393,0.9624539877300613,0.7259993983734596,0.46206896551724136,0.47183098591549294,0.46689895470383275,0.4474692002722183
30,0.8220385112608015,0.41633357477910804,0.9671165644171779,0.6978688812253127,0.5370370370370371,0.4084507042253521,0.464,0.45182542034852585
31,0.8392958820811981,0.4922644866470462,0.9602453987730062,0.7520072123562631,0.4411764705882353,0.528169014084507,0.4807692307692308,0.462289608760909
32,0.7862390462786892,0.35522770966998046,0.9619631901840491,0.7087751528238846,0.45255474452554745,0.43661971830985913,0.4444444444444444,0.4248315987239569
33,0.8366154209774281,0.48149894767485757,0.9676073619631902,0.7218811214605201,0.5416666666666666,0.45774647887323944,0.4961832061068702,0.4813850808103998
34,0.8021579771023803,0.41277526754773236,0.9631901840490797,0.6958348105413565,0.46774193548387094,0.4084507042253521,0.4360902255639098,0.41817847625381815
35,0.7983718481752452,0.38961365342129073,0.9644171779141104,0.7270164337154378,0.48905109489051096,0.47183098591549294,0.48028673835125446,0.4619503478620237
36,0.8152039621405013,0.4071333268103066,0.9634355828220859,0.7129319266731843,0.47368421052631576,0.44366197183098594,0.45818181818181813,0.43953432278692645
37,0.8179256060134005,0.4886686991273292,0.9700613496932515,0.7435163996948895,0.5819672131147541,0.5,0.537878787878788,0.5241082944116863
38,0.8448466031377689,0.46806135490714795,0.9619631901840491,0.7562911156233101,0.46060606060606063,0.5352112676056338,0.495114006514658,0.4769131986891194
39,0.8010746912187592,0.43818761553739666,0.9683435582822086,0.6815345415999685,0.5698924731182796,0.3732394366197183,0.451063829787234,0.4458649279991298
40,0.8233321873780184,0.4161910388582438,0.9597546012269939,0.7279949721210558,0.43037974683544306,0.4788732394366197,0.45333333333333337,0.43316771641586566
41,0.8154277815379437,0.4279692015707092,0.9639263803680982,0.7131861855086788,0.48091603053435117,0.44366197183098594,0.4615384615384615,0.4432932302535726
42,0.8340602987362261,0.4446617365371851,0.9688343558282209,0.6919707924639114,0.5773195876288659,0.39436619718309857,0.4686192468619247,0.4619054029005844
43,0.8268730102455567,0.388439541771492,0.9668711656441717,0.6434377943225076,0.5454545454545454,0.29577464788732394,0.3835616438356164,0.3863963203131199
44,0.8058501018825898,0.3865663748814018,0.9560736196319018,0.7193000361692147,0.3905325443786982,0.4647887323943662,0.42443729903536975,0.4034273826041607
45,0.7717597218193474,0.3723581931633614,0.9577914110429447,0.7100079500649972,0.40384615384615385,0.44366197183098594,0.4228187919463088,0.401441203393291
46,0.8421061584354845,0.47183420939790743,0.9715337423312883,0.6696112346594185,0.6805555555555556,0.34507042253521125,0.45794392523364486,0.4722062308052333
47,0.8355267634282686,0.41105320471041273,0.9661349693251534,0.6905723688686914,0.5185185185185185,0.39436619718309857,0.44799999999999995,0.4351641356523505
48,0.7868934941968107,0.3981062143211193,0.9641717791411043,0.6861613361838972,0.4824561403508772,0.3873239436619718,0.4296875,0.414067154308946
49,0.8052001303524171,0.45479523602418864,0.961717791411043,0.7391939994914823,0.4551282051282051,0.5,0.476510067114094,0.45723186655836656
